Longitude,Latitude,Pixel,Scan
24.218605,10.3731596,1900,1400
24.242309,10.3717195,2000,1400
24.2660133,10.3702825,2100,1400
24.2897181,10.3688486,2200,1400
24.3134236,10.3674179,2300,1400
24.3371299,10.3659902,2400,1400
24.3608373,10.3645656,2500,1400
24.3845458,10.3631441,2600,1400
24.4082557,10.3617257,2700,1400
24.4319671,10.3603103,2800,1400
24.4556802,10.358898,2900,1400
24.4793952,10.3574887,3000,1400
24.5031121,10.3560824,3100,1400
24.5268313,10.3546792,3200,1400
24.5505528,10.353279,3300,1400
24.5742769,10.3518818,3400,1400
24.5980036,10.3504875,3500,1400
24.6217332,10.3490963,3600,1400
24.6454659,10.347708,3700,1400
24.6692017,10.3463228,3800,1400
24.692941,10.3449404,3900,1400
24.7164463,10.3435749,3999,1400
23.7677549,10.3850872,0,1500
23.7914832,10.3835854,100,1500
23.8152088,10.3820869,200,1500
23.8389316,10.3805917,300,1500
23.8626519,10.3790999,400,1500
23.8863699,10.3776113,500,1500
23.9100857,10.3761261,600,1500
23.9337994,10.3746441,700,1500
23.9575114,10.3731654,800,1500
23.9812217,10.3716899,900,1500
24.0049304,10.3702177,1000,1500
24.0286378,10.3687487,1100,1500
24.0523441,10.3672829,1200,1500
24.0760493,10.3658203,1300,1500
24.0997538,10.3643609,1400,1500
24.1234575,10.3629048,1500,1500
24.1471608,10.3614518,1600,1500
24.1708637,10.3600019,1700,1500
24.1945665,10.3585552,1800,1500
24.2182692,10.3571117,1900,1500
24.2419722,10.3556713,2000,1500
24.2656755,10.3542341,2100,1500
24.2893793,10.3527999,2200,1500
24.3130837,10.3513689,2300,1500
24.3367891,10.3499409,2400,1500
24.3604954,10.3485161,2500,1500
24.3842029,10.3470943,2600,1500
24.4079118,10.3456756,2700,1500
24.4316221,10.34426,2800,1500
24.4553342,10.3428474,2900,1500
24.4790481,10.3414379,3000,1500
24.5027641,10.3400314,3100,1500
24.5264822,10.3386279,3200,1500
24.5502027,10.3372274,3300,1500
24.5739257,10.33583,3400,1500
24.5976514,10.3344355,3500,1500
24.62138,10.333044,3600,1500
24.6451116,10.3316555,3700,1500
24.6688464,10.33027,3800,1500
24.6925846,10.3288875,3900,1500
24.7160889,10.3275217,3999,1500
23.7674527,10.3689169,0,1600
23.7911797,10.3674139,100,1600
23.8149039,10.3659143,200,1600
23.8386254,10.364418,300,1600
23.8623444,10.3629249,400,1600
23.886061,10.3614352,500,1600
23.9097754,10.3599488,600,1600
23.9334879,10.3584656,700,1600
23.9571984,10.3569858,800,1600
23.9809073,10.3555091,900,1600
24.0046147,10.3540358,1000,1600
